ticker,period_end,metric_name,value
TCS.NS,2026-06-30,Total Revenue,722750000000.0
TCS.NS,2026-03-31,Total Revenue,706980000000.0
TCS.NS,2025-12-31,Total Revenue,670870000000.0
TCS.NS,2025-06-30,Total Revenue,634370000000.0
TCS.NS,2025-03-31,Total Revenue,644790000000.0
TCS.NS,2026-06-30,Operating Income,173170000000.0
TCS.NS,2026-03-31,Operating Income,178700000000.0
TCS.NS,2025-12-31,Operating Income,169260000000.0
TCS.NS,2025-06-30,Operating Income,155140000000.0
TCS.NS,2025-03-31,Operating Income,156010000000.0
INFY.NS,2026-06-30,Total Revenue,5082000000.0
INFY.NS,2026-03-31,Total Revenue,5040000000.0
INFY.NS,2025-12-31,Total Revenue,5099000000.0
INFY.NS,2025-09-30,Total Revenue,5076000000.0
INFY.NS,2025-06-30,Total Revenue,4941000000.0
INFY.NS,2026-06-30,Operating Income,1072000000.0
INFY.NS,2026-03-31,Operating Income,1055000000.0
INFY.NS,2025-12-31,Operating Income,943000000.0
INFY.NS,2025-09-30,Operating Income,1065000000.0
INFY.NS,2025-06-30,Operating Income,1028000000.0
WIPRO.NS,2026-06-30,Total Revenue,244786000000.0
WIPRO.NS,2026-03-31,Total Revenue,242363000000.0
WIPRO.NS,2025-12-31,Total Revenue,235558000000.0
WIPRO.NS,2025-09-30,Total Revenue,226973000000.0
WIPRO.NS,2025-06-30,Total Revenue,221346000000.0
WIPRO.NS,2026-06-30,Operating Income,38427000000.0
WIPRO.NS,2026-03-31,Operating Income,41366000000.0
WIPRO.NS,2025-12-31,Operating Income,34947000000.0
WIPRO.NS,2025-09-30,Operating Income,37271000000.0
WIPRO.NS,2025-06-30,Operating Income,35542000000.0
HCLTECH.NS,2026-06-30,Total Revenue,345790000000.0
HCLTECH.NS,2026-03-31,Total Revenue,339810000000.0
HCLTECH.NS,2025-12-31,Total Revenue,338720000000.0
HCLTECH.NS,2025-06-30,Total Revenue,303490000000.0
HCLTECH.NS,2025-03-31,Total Revenue,302460000000.0
HCLTECH.NS,2026-06-30,Operating Income,109390000000.0
HCLTECH.NS,2026-03-31,Operating Income,106540000000.0
HCLTECH.NS,2025-12-31,Operating Income,110600000000.0
HCLTECH.NS,2025-09-30,Operating Income,99770000000.0
HCLTECH.NS,2025-06-30,Operating Income,90800000000.0
TECHM.NS,2026-06-30,Total Revenue,157119000000.0
TECHM.NS,2026-03-31,Total Revenue,150761000000.0
TECHM.NS,2025-12-31,Total Revenue,143932000000.0
TECHM.NS,2025-06-30,Total Revenue,133512000000.0
TECHM.NS,2025-03-31,Total Revenue,133840000000.0
TECHM.NS,2026-06-30,Operating Income,22639000000.0
TECHM.NS,2026-03-31,Operating Income,20842000000.0
TECHM.NS,2025-12-31,Operating Income,18919000000.0
TECHM.NS,2025-06-30,Operating Income,14771000000.0
TECHM.NS,2025-03-31,Operating Income,14053000000.0
